Name,Team,Group,Position,Games_Played,AB,R,H,Doubles,Triples,HR,RBI,Walks,Strike_Outs
"Hoskins, R",PHI,Outfield,LF,153,558,89,137,38,0,34,96,87,150
"Goodrum, N",DET,Infield,2B,131,444,55,109,29,3,16,53,42,132
"Grichuk, R",TOR,Outfield,RF,124,424,60,104,32,1,25,61,27,122
"Margot, M",SD,Outfield,CF,141,477,50,117,26,8,8,51,32,88
"Pujols, A",LAA,Infield,1B,117,465,50,114,20,0,19,64,28,65
"Gordon, A",KC,Outfield,LF,141,506,56,124,24,0,13,54,50,124
"Moreland, M",BOS,Infield,1B,124,404,57,99,23,4,15,68,50,102
"Jackson, A",NYM,Outfield,CF,116,347,29,85,17,1,3,32,26,133
"Rickard, J",BAL,Outfield,CF,79,213,27,52,10,1,8,23,15,55
"Romine, A",NYY,Battery,C,77,242,30,59,12,0,10,42,17,67
"Longoria, E",SF,Infield,3B,125,480,51,117,25,4,16,54,22,101
"Prado, M",MIA,Infield,3B,54,197,16,48,9,0,1,18,11,35
"Conforto, M",NYM,Outfield,CF,153,543,78,132,25,1,28,82,84,159
"Scherzer, M",WSH,Battery,P,32,70,8,17,2,0,0,6,1,14
"Reddick, J",HOU,Outfield,RF,134,433,63,105,13,2,17,47,49,77
"Martinez, C",STL,Battery,P,33,33,1,8,2,0,1,4,0,11
"Mancini, T",BAL,Outfield,LF,156,582,69,141,23,3,24,58,44,153
"Granderson, C",MIL,Outfield,LF,123,343,60,83,22,2,13,38,54,106
"Sanchez, Y",CWS,Infield,3B,155,600,62,145,34,10,8,55,49,138
"Smoak, J",TOR,Infield,1B,147,505,67,122,34,0,25,77,83,156
"Hundley, N",SF,Battery,C,96,282,34,68,13,2,10,31,22,85
"Lucroy, J",OAK,Battery,C,126,415,41,100,21,1,4,51,29,65
"Shaw, T",MIL,Infield,3B,152,498,73,120,23,0,32,86,78,108
"Grandal, Y",LAD,Battery,C,140,440,65,106,23,2,24,68,72,124
"Duda, L",ATL,Infield,1B,107,328,35,79,14,1,14,50,28,102
"DeJong, P",STL,Infield,SS,115,436,68,105,25,1,19,68,36,123
